txn_id,account_id,category_id,merchant_id,txn_date,description,amount
1,2,6,2,2025-01-02,Daily expense,-11
2,3,7,3,2025-01-03,Daily expense,-12
3,4,8,4,2025-01-04,Daily expense,-13
4,5,9,5,2025-01-05,Daily expense,-14
5,6,1,,2025-01-06,Monthly income,2505
6,7,11,7,2025-01-07,Daily expense,-16
7,8,12,8,2025-01-08,Daily expense,-17
8,9,13,9,2025-01-09,Daily expense,-18
9,10,14,10,2025-01-10,Daily expense,-19
10,11,1,,2025-01-11,Monthly income,2510
11,12,6,12,2025-01-12,Daily expense,-21
12,13,7,13,2025-01-13,Daily expense,-22
13,14,8,14,2025-01-14,Daily expense,-23
14,15,9,15,2025-01-15,Daily expense,-24
15,16,1,,2025-01-16,Monthly income,2515
16,17,11,17,2025-01-17,Daily expense,-26
17,18,12,18,2025-01-18,Daily expense,-27
18,19,13,19,2025-01-19,Daily expense,-28
19,20,14,20,2025-01-20,Daily expense,-29
20,21,1,,2025-01-21,Monthly income,2520
21,22,6,22,2025-01-22,Daily expense,-31
22,23,7,23,2025-01-23,Daily expense,-32
23,24,8,24,2025-01-24,Daily expense,-33
24,25,9,25,2025-01-25,Daily expense,-34
25,26,1,,2025-01-26,Monthly income,2525
26,27,11,27,2025-01-27,Daily expense,-36
27,28,12,28,2025-01-28,Daily expense,-37
28,29,13,29,2025-01-29,Daily expense,-38
29,30,14,30,2025-01-30,Daily expense,-39
30,31,1,,2025-01-31,Monthly income,2530
31,32,6,32,2025-02-01,Daily expense,-41
32,33,7,33,2025-02-02,Daily expense,-42
33,34,8,34,2025-02-03,Daily expense,-43
34,35,9,35,2025-02-04,Daily expense,-44
35,36,1,,2025-02-05,Monthly income,2535
36,37,11,37,2025-02-06,Daily expense,-46
37,38,12,38,2025-02-07,Daily expense,-47
38,39,13,39,2025-02-08,Daily expense,-48
39,40,14,40,2025-02-09,Daily expense,-49
40,41,1,,2025-02-10,Monthly income,2540
41,42,6,42,2025-02-11,Daily expense,-51
